sheet_column_header,match_text,item_name,zoho_item_id,active,default_rate
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon Belly 450g $25 per pack,Roasted Lechon Belly 450g,245500000000102576,true,25
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon Belly (half rolls size) 8 lb.- 11 lb $120 - $160,Roasted Lechon Belly Half Roll,245500000000102583,true,120
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon Belly (full rolls size) 14 - 22 lbs. $200 -- $320,Roasted Lechon Belly Full Roll,245500000000102590,true,200
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Cochinillo 12 -15 lbs. $450,Roasted Cochinillo,245500000000102597,true,450
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon De Leche 30-39 lbs. $450-480,Roasted Lechon De Leche,245500000000102604,true,450
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon Medium 50-59 lbs. $500 - $550,Roasted Lechon Medium,245500000000102611,true,500
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted Lechon Large 60 -69 Lbs. $550 - $600,Roasted Lechon Large,245500000000102618,true,550
"Bagnetchon Signature Menu --
Home of Premium Filipino Roasted Lechon",Roasted lechon Extra-large 70 -80 Lbs. $600 - $650,Roasted Lechon Extra-Large,245500000000102625,true,600
Column 11,Shanghai Rolls- Full tray $180 in,Shanghai Rolls Full Tray,245500000000102632,true,180
Column 12,Pansit Canton Bihon $190 full tray,Pansit Canton Bihon Full Tray,245500000000102639,true,190
Column 13,Steamed Rice Full tray $90,Steamed Rice Full Tray,245500000000102646,true,90
Column 14,Beef Kare Kare $250,Beef Kare Kare,245500000000102653,true,250
Column 15,Beef Bistek Tagalog - Full tray $270,Beef Bistek Tagalog Full Tray,245500000000102660,true,270
Chop Suey Full tray  $250,Option 1,Chop Suey Full Tray,245500000000102667,true,250
Column 17,Pork Siomai Full tray $250,Pork Siomai Full Tray,245500000000102674,true,250
Column 18,Pork Menudo $220,Pork Menudo,245500000000102681,true,220
