sheet_column_header,match_text,item_name,zoho_item_id,active,default_rate
website,Sisig Maharlika - Half Tray,Sisig Maharlika Half Tray,5729797000000173025,true,140
website,Sisig Maharlika - Full Tray,Sisig Maharlika Full Tray,5729797000000173025,true,250
website,Lechon Paksiw - Half Tray,Lechon Paksiw Half Tray,5729797000000173036,true,120
website,Lechon Paksiw - Full Tray,Lechon Paksiw Full Tray,5729797000000173036,true,250
website,Lumpiang Shanghai - Full Tray,Shanghai Rolls Full Tray,5729797000000457030,true,180
website,Pansit Canton Bihon - Full Tray,Pansit Canton Bihon Full Tray,5729797000000240019,true,180
website,Beef Caldereta - Full Tray,Beef Caldereta Full Tray,,true,265
website,Bistek Tagalog - Full Tray,Beef Bistek Tagalog Full Tray,5729797000000399019,true,265
website,Beef Kare Kare - Full Tray,Beef Kare Kara,5729797000000388023,true,265
website,Pork Menudo - Full Tray,Pork Menudo,5729797000000325030,true,220
website,Chicken Curry - Full Tray,Chicken Curry Full Tray,5729797000000465031,true,220
website,Pork Siomai - Full Tray (200 pcs),Pork Siomai Full Tray,5729797000000410019,true,250
website,Chef's Lechon Sarsa - 450 g,Chef Bagnet Lechon Sarsa 450g,,true,10
website,Steamed Rice - Full Tray,Steamed Rice Full Tray,5729797000000173059,true,80
website,Buko Pandan Salad - Full Tray,Buko Pandan Salad Full Tray,5729797000000465046,true,200
website,Kakanin Platter,Kakanin Platter,5729797000000399030,true,120
