Item Name,Rate,Product Type,Description
Roasted Lechon Belly 450g,25,Goods,Bagnetchon menu item
Roasted Lechon Belly Half Roll,120,Goods,Bagnetchon menu item
Roasted Lechon Belly Full Roll,200,Goods,Bagnetchon menu item
Roasted Cochinillo,450,Goods,Bagnetchon menu item
Roasted Lechon De Leche,450,Goods,Bagnetchon menu item
Roasted Lechon Medium,500,Goods,Bagnetchon menu item
Roasted Lechon Large,550,Goods,Bagnetchon menu item
Roasted Lechon Extra-Large,600,Goods,Bagnetchon menu item
Shanghai Rolls Full Tray,180,Goods,Bagnetchon menu item
Pansit Canton Bihon Full Tray,190,Goods,Bagnetchon menu item
Steamed Rice Full Tray,90,Goods,Bagnetchon menu item
Beef Kare Kare,250,Goods,Bagnetchon menu item
Beef Bistek Tagalog Full Tray,270,Goods,Bagnetchon menu item
Chop Suey Full Tray,250,Goods,Bagnetchon menu item
Pork Siomai Full Tray,250,Goods,Bagnetchon menu item
Pork Menudo,220,Goods,Bagnetchon menu item
